 Total Nb of available Diagnostics: ndiagt=   396
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTVTEND|  1 |    97 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
    99 |TOTTTEND|  1 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTSTEND|  1 |       |SMR     MR|psu/day         |Tendency of Salinity
   101 |MoistCor|  1 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   102 |gT_Forc |  1 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   103 |gS_Forc |  1 |       |SMR     MR|psu/s           |Salinity forcing tendency
   104 |AB_gT   |  1 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   105 |AB_gS   |  1 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   106 |gTinAB  |  1 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   107 |gSinAB  |  1 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   108 |AB_gU   |  1 |   109 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   109 |AB_gV   |  1 |   108 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   110 |ADVr_TH |  1 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   111 |ADVx_TH |  1 |   112 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   112 |ADVy_TH |  1 |   111 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   113 |DFrE_TH |  1 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   114 |DFxE_TH |  1 |   115 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   115 |DFyE_TH |  1 |   114 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   116 |DFrI_TH |  1 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   117 |ADVr_SLT|  1 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   118 |ADVx_SLT|  1 |   119 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   119 |ADVy_SLT|  1 |   118 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   120 |DFrE_SLT|  1 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   121 |DFxE_SLT|  1 |   122 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   122 |DFyE_SLT|  1 |   121 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   123 |DFrI_SLT|  1 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   124 |SALTFILL|  1 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   125 |VISCAHZ |  1 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   126 |VISCA4Z |  1 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   127 |VISCAHD |  1 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   128 |VISCA4D |  1 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   129 |VISCAHW |  1 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   130 |VISCA4W |  1 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   131 |VAHZMAX |  1 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   132 |VA4ZMAX |  1 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   133 |VAHDMAX |  1 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   134 |VA4DMAX |  1 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   135 |VAHZMIN |  1 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   136 |VA4ZMIN |  1 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   137 |VAHDMIN |  1 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   138 |VA4DMIN |  1 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   139 |VAHZLTH |  1 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   140 |VA4ZLTH |  1 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   141 |VAHDLTH |  1 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   142 |VA4DLTH |  1 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   143 |VAHZLTHD|  1 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   144 |VA4ZLTHD|  1 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   145 |VAHDLTHD|  1 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   146 |VA4DLTHD|  1 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   147 |VAHZSMAG|  1 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   148 |VA4ZSMAG|  1 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   149 |VAHDSMAG|  1 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   150 |VA4DSMAG|  1 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   151 |momKE   |  1 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   152 |momHDiv |  1 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   153 |momVort3|  1 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   154 |Strain  |  1 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   155 |Tension |  1 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   156 |UBotDrag|  1 |   157 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   157 |VBotDrag|  1 |   156 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   158 |USidDrag|  1 |   159 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   159 |VSidDrag|  1 |   158 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   160 |Um_Diss |  1 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   161 |Vm_Diss |  1 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   162 |Um_Advec|  1 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec|  1 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori |  1 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori |  1 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPHdx|  1 |   167 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   167 |Vm_dPHdy|  1 |   166 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   168 |Um_Ext  |  1 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  |  1 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_AdvZ3|  1 |   171 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   171 |Vm_AdvZ3|  1 |   170 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   172 |Um_AdvRe|  1 |   173 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   173 |Vm_AdvRe|  1 |   172 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   174 |ADVx_Um |  1 |   175 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   175 |ADVy_Um |  1 |   174 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   176 |ADVrE_Um|  1 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   177 |ADVx_Vm |  1 |   178 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   178 |ADVy_Vm |  1 |   177 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   179 |ADVrE_Vm|  1 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   180 |VISCx_Um|  1 |   181 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   181 |VISCy_Um|  1 |   180 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   182 |VISrE_Um|  1 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   183 |VISrI_Um|  1 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   184 |VISCx_Vm|  1 |   185 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   185 |VISCy_Vm|  1 |   184 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   186 |VISrE_Vm|  1 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   187 |VISrI_Vm|  1 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   188 |TRAC01  |  1 |       |SMR     MR|g/m^3           |dye1 concentration
   189 |UTRAC01 |  1 |   190 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye1
   190 |VTRAC01 |  1 |   189 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye1
   191 |WTRAC01 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye1
   192 |ForcTr01|  1 |       |SMR     MR|g/m^3/s         |dye1 forcing tendency
   193 |AB_gTr01|  1 |       |SMR     MR|g/m^3/s         |dye1 tendency from Adams-Bashforth
   194 |ADVrTr01|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye1
   195 |ADVxTr01|  1 |   196 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye1
   196 |ADVyTr01|  1 |   195 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye1
   197 |DFrETr01|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye1 (Explicit part)
   198 |DFxETr01|  1 |   199 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye1
   199 |DFyETr01|  1 |   198 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye1
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |DFrITr01|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye1 (Implicit part)
   201 |TRAC02  |  1 |       |SMR     MR|g/m^3           |dye2 concentration
   202 |UTRAC02 |  1 |   203 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye2
   203 |VTRAC02 |  1 |   202 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye2
   204 |WTRAC02 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye2
   205 |ForcTr02|  1 |       |SMR     MR|g/m^3/s         |dye2 forcing tendency
   206 |AB_gTr02|  1 |       |SMR     MR|g/m^3/s         |dye2 tendency from Adams-Bashforth
   207 |ADVrTr02|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye2
   208 |ADVxTr02|  1 |   209 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye2
   209 |ADVyTr02|  1 |   208 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye2
   210 |DFrETr02|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye2 (Explicit part)
   211 |DFxETr02|  1 |   212 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye2
   212 |DFyETr02|  1 |   211 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye2
   213 |DFrITr02|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye2 (Implicit part)
   214 |TRAC03  |  1 |       |SMR     MR|g/m^3           |dye3 concentration
   215 |UTRAC03 |  1 |   216 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye3
   216 |VTRAC03 |  1 |   215 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye3
   217 |WTRAC03 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye3
   218 |ForcTr03|  1 |       |SMR     MR|g/m^3/s         |dye3 forcing tendency
   219 |AB_gTr03|  1 |       |SMR     MR|g/m^3/s         |dye3 tendency from Adams-Bashforth
   220 |ADVrTr03|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye3
   221 |ADVxTr03|  1 |   222 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye3
   222 |ADVyTr03|  1 |   221 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye3
   223 |DFrETr03|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye3 (Explicit part)
   224 |DFxETr03|  1 |   225 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye3
   225 |DFyETr03|  1 |   224 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye3
   226 |DFrITr03|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye3 (Implicit part)
   227 |TRAC04  |  1 |       |SMR     MR|g/m^3           |dye4 concentration
   228 |UTRAC04 |  1 |   229 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye4
   229 |VTRAC04 |  1 |   228 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye4
   230 |WTRAC04 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye4
   231 |ForcTr04|  1 |       |SMR     MR|g/m^3/s         |dye4 forcing tendency
   232 |AB_gTr04|  1 |       |SMR     MR|g/m^3/s         |dye4 tendency from Adams-Bashforth
   233 |ADVrTr04|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye4
   234 |ADVxTr04|  1 |   235 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye4
   235 |ADVyTr04|  1 |   234 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye4
   236 |DFrETr04|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye4 (Explicit part)
   237 |DFxETr04|  1 |   238 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye4
   238 |DFyETr04|  1 |   237 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye4
   239 |DFrITr04|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye4 (Implicit part)
   240 |TRAC05  |  1 |       |SMR     MR|g/m^3           |dye5 concentration
   241 |UTRAC05 |  1 |   242 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye5
   242 |VTRAC05 |  1 |   241 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye5
   243 |WTRAC05 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye5
   244 |ForcTr05|  1 |       |SMR     MR|g/m^3/s         |dye5 forcing tendency
   245 |AB_gTr05|  1 |       |SMR     MR|g/m^3/s         |dye5 tendency from Adams-Bashforth
   246 |ADVrTr05|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye5
   247 |ADVxTr05|  1 |   248 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye5
   248 |ADVyTr05|  1 |   247 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye5
   249 |DFrETr05|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye5 (Explicit part)
   250 |DFxETr05|  1 |   251 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye5
   251 |DFyETr05|  1 |   250 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye5
   252 |DFrITr05|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye5 (Implicit part)
   253 |TRAC06  |  1 |       |SMR     MR|g/m^3           |dye6 concentration
   254 |UTRAC06 |  1 |   255 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye6
   255 |VTRAC06 |  1 |   254 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye6
